,mean_mir146a,mean_mir146b,mean_mir155,mean_mir203,mean_mir223,mean_mir381p,mean_GAPDH,pocket_depth,bleeding_on_probing,number_of_missing_teeth
mean_mir146a,1.0,0.9895907803609351,0.9885270941756685,0.9879098268530934,0.9849488039214807,0.9786615196486536,0.9818225244633355,-0.799350476903884,-0.7538350614525847,-0.1951615662616396
mean_mir146b,0.9895907803609351,1.0,0.9875319997538408,0.9838615090831753,0.9814615951741071,0.9777888178225894,0.9797636421856737,-0.798321283456006,-0.776960247346932,-0.21661737047529092
mean_mir155,0.9885270941756685,0.9875319997538408,1.0,0.9849278830747207,0.978840303989926,0.9794547517934485,0.9871564451598049,-0.8056905995510625,-0.7706782900012391,-0.21696813687972202
mean_mir203,0.9879098268530934,0.9838615090831753,0.9849278830747207,1.0,0.9886608989403906,0.9861179062593539,0.9869173063926238,-0.8079022828069434,-0.7530714928778752,-0.20937780975228534
mean_mir223,0.9849488039214807,0.9814615951741071,0.978840303989926,0.9886608989403906,1.0,0.983817537482504,0.9814867044476515,-0.7959694553559648,-0.7552793329218258,-0.21506095479865675
mean_mir381p,0.9786615196486536,0.9777888178225894,0.9794547517934485,0.9861179062593539,0.983817537482504,1.0,0.9825754482104424,-0.7949569446840553,-0.7536598384760816,-0.2286810741690847
mean_GAPDH,0.9818225244633355,0.9797636421856737,0.9871564451598049,0.9869173063926238,0.9814867044476515,0.9825754482104424,1.0,-0.8144497122924282,-0.7547603509933231,-0.2378135899731646
pocket_depth,-0.799350476903884,-0.798321283456006,-0.8056905995510625,-0.8079022828069434,-0.7959694553559648,-0.7949569446840553,-0.8144497122924282,1.0,0.8161314842392077,0.3341378950837212
bleeding_on_probing,-0.7538350614525847,-0.776960247346932,-0.7706782900012391,-0.7530714928778752,-0.7552793329218258,-0.7536598384760816,-0.7547603509933231,0.8161314842392077,1.0,0.23262041745887893
number_of_missing_teeth,-0.1951615662616396,-0.21661737047529092,-0.21696813687972202,-0.20937780975228534,-0.21506095479865675,-0.2286810741690847,-0.2378135899731646,0.3341378950837212,0.23262041745887893,1.0
