miRNA,Comparison,AUC,Sensitivity,Specificity,Accuracy,Optimal Cutoff
mean_mir146a,Control vs. Gingivitis,0.37037037037037035,0.027777777777777776,1.0,0.5138888888888888,0.3410380614940912
mean_mir146a,Control vs. Periodontitis,0.0,0.0,1.0,0.5,inf
mean_mir146b,Control vs. Gingivitis,0.3252314814814815,0.08333333333333333,0.9722222222222222,0.5277777777777778,0.2355537161770786
mean_mir146b,Control vs. Periodontitis,0.0,0.0,1.0,0.5,inf
mean_mir155,Control vs. Gingivitis,0.34837962962962965,0.08333333333333333,0.9722222222222222,0.5277777777777778,0.1940318483316068
mean_mir155,Control vs. Periodontitis,0.0,0.0,1.0,0.5,inf
mean_mir203,Control vs. Gingivitis,0.4830246913580247,0.1388888888888889,0.9444444444444444,0.5416666666666666,0.0961658554125764
mean_mir203,Control vs. Periodontitis,0.0,0.0,1.0,0.5,inf
mean_mir223,Control vs. Gingivitis,0.4672067901234568,0.6111111111111112,0.4444444444444444,0.5277777777777778,0.0429663786919484
mean_mir223,Control vs. Periodontitis,0.0,0.0,1.0,0.5,inf
mean_mir381p,Control vs. Gingivitis,0.44598765432098764,0.7777777777777778,0.2777777777777778,0.5277777777777778,0.000490376608867
mean_mir381p,Control vs. Periodontitis,0.0,0.0,1.0,0.5,inf
