,mean_mir146a,mean_mir146b,mean_mir155,mean_mir203,mean_mir223,mean_mir381p,AGE,plaque_index,gingival_index,pocket_depth,bleeding_on_probing,number_of_missing_teeth
mean_mir146a,1.0,0.9910507133644598,0.9886769929818722,0.988909096061492,0.9854015530481905,0.981071878142159,-0.5266314205266588,-0.7078700144962993,-0.6670405259124449,-0.7877187704125991,-0.7619828726260083,-0.21766809718111657
mean_mir146b,0.9910507133644598,1.0,0.9901058912250188,0.9872725652111508,0.9815800297658697,0.9799574888916708,-0.5250044459088004,-0.723798926380376,-0.6900362891965132,-0.792331819099234,-0.7829912061457659,-0.2460484357666741
mean_mir155,0.9886769929818722,0.9901058912250188,1.0,0.9846640209320066,0.981026319255306,0.9800254725146094,-0.5230274253868175,-0.7042434873572815,-0.6715063997953143,-0.7905867504273432,-0.7756312208238741,-0.24560425241675612
mean_mir203,0.988909096061492,0.9872725652111508,0.9846640209320066,1.0,0.9891688889713958,0.9861661498921201,-0.5459359503983344,-0.7036044588126936,-0.6595628704915416,-0.7959344461744748,-0.7588434431057238,-0.2238317711864738
mean_mir223,0.9854015530481905,0.9815800297658697,0.981026319255306,0.9891688889713958,1.0,0.9862143931407114,-0.5507309869967786,-0.7108865686934317,-0.663385579488574,-0.7867228607257959,-0.7670752394578423,-0.2296350411834958
mean_mir381p,0.981071878142159,0.9799574888916708,0.9800254725146094,0.9861661498921201,0.9862143931407114,1.0,-0.5380179792942731,-0.7124182206053568,-0.6670281770899692,-0.787119468137649,-0.7599137186098072,-0.2545240883834582
AGE,-0.5266314205266588,-0.5250044459088004,-0.5230274253868175,-0.5459359503983344,-0.5507309869967786,-0.5380179792942731,1.0,0.40634698395969954,0.448122326180706,0.6117150442055406,0.5693298282056847,0.2527001724667739
plaque_index,-0.7078700144962993,-0.723798926380376,-0.7042434873572815,-0.7036044588126936,-0.7108865686934317,-0.7124182206053568,0.40634698395969954,1.0,0.8756867641924319,0.7339124550612539,0.8478063024575194,0.24479785095129325
gingival_index,-0.6670405259124449,-0.6900362891965132,-0.6715063997953143,-0.6595628704915416,-0.663385579488574,-0.6670281770899692,0.448122326180706,0.8756867641924319,1.0,0.7294943876927129,0.8832108270883063,0.22875263065114598
pocket_depth,-0.7877187704125991,-0.792331819099234,-0.7905867504273432,-0.7959344461744748,-0.7867228607257959,-0.787119468137649,0.6117150442055406,0.7339124550612539,0.7294943876927129,1.0,0.8090970240222338,0.3703748953872685
bleeding_on_probing,-0.7619828726260083,-0.7829912061457659,-0.7756312208238741,-0.7588434431057238,-0.7670752394578423,-0.7599137186098072,0.5693298282056847,0.8478063024575194,0.8832108270883063,0.8090970240222338,1.0,0.2689017072233145
number_of_missing_teeth,-0.21766809718111657,-0.2460484357666741,-0.24560425241675612,-0.2238317711864738,-0.2296350411834958,-0.2545240883834582,0.2527001724667739,0.24479785095129325,0.22875263065114598,0.3703748953872685,0.2689017072233145,1.0
